municipality_name_source,color,match_type,matched_raw,evidence_status,source_id
Lausanne,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Lauterbrunnen,vert,normalisation_exacte,Lauterbrunnen,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Le Chenit,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Lenk,vert,normalisation_exacte,Lenk,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Lenzburg,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Leukerbad,vert,normalisation_exacte,Leukerbad,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Leysin,vert,normalisation_exacte,Leysin,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Liestal,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Locarno,vert,normalisation_exacte,Locarno,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Lugano,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Lumnezia,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Luzern,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Maienfeld,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Martigny,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Matten bei Interlaken,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Meggen,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Meiringen,vert,normalisation_exacte,Meiringen,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Mendrisio,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Meyrin,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Monteceneri,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Montreux,vert,normalisation_exacte,Montreux,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Morges,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Morschach,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Moutier (BE),rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Moutier (JU),rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Muralto,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Murten,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Neckertal,vert,alias_fusion_ancienne_commune_ou_localite,Hemberg; Oberhelfenschwil,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Nendaz,vert,normalisation_exacte,Nendaz,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Neuchâtel,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Nyon,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Ollon,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Olten,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Opfikon,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Ormont-Dessus,vert,normalisation_exacte,Ormont-Dessus,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Orsières,vert,normalisation_exacte,Orsières,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Paradiso,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Plaffeien,vert,normalisation_exacte,Plaffeien,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Pontresina,vert,normalisation_exacte,Pontresina,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Porrentruy,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Poschiavo,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Pratteln,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Quarten,vert,normalisation_exacte,Quarten,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Rapperswil-Jona,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Reichenbach im Kandertal,vert,alias_fusion_ancienne_commune_ou_localite,Kandertal; Reichenbach bei Frutigen,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Rheinfelden,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Rheinwald,vert,normalisation_exacte,Rheinwald,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Rorschacherberg,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Saanen,vert,normalisation_exacte,Saanen,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Saas-Fee,vert,normalisation_exacte,Saas Fee,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Saas-Grund,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Sachseln,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Saignelégier,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Saint-Maurice,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Samedan,vert,alias_fusion_ancienne_commune_ou_localite,Samaden,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Samnaun,vert,normalisation_exacte,Samnaun,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Sarnen,vert,normalisation_exacte,Sarnen,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Schaffhausen,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Schangnau,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Schwyz,vert,normalisation_exacte,Schwyz,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
