resort_id,resort_name_canonical,resort_name_original,latitude,longitude,region,url_station,altitude_top_m,ski_area_km,number_lifts,cluster_id,assignment_quality,distance_m,identity_status,feature_observation_date,municipality_bfs_id,country,magic_pass_member,magic_pass_entry_date,source_ids
jakobshorn_davos_jakobshorn,Jakobshorn Davos Jakobshorn,Jakobshorn Davos Jakobshorn,46.774495,9.836540,Grisons,https://www.bergfex.ch/davos-jakobshorn/,2590,42,13,SKI_CLUSTER_006,confident,170.0,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
junker_st_antonien,Junker - St. Antönien,Junker Junker - St. Antönien,46.971446,9.803253,Grisons,https://www.bergfex.ch/junker-st-antoenien/,1650,4.5,2,SKI_CLUSTER_240,confident,31.4,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
laax_flims_laax_falera,Laax Flims Laax Falera,Laax Flims Laax Falera,46.847979,9.217186,Grisons,https://www.bergfex.ch/laax/,3018,214,31,SKI_CLUSTER_019,confident,506.8,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
languard_pontresina,Languard Pontresina,Languard Languard / Pontresina,46.491566,9.907554,Grisons,https://www.bergfex.ch/languard-pontresina/,2320,1,1,SKI_CLUSTER_022,confident,52.8,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
madrisa_klosters_madrisa,Madrisa Klosters Madrisa,Madrisa Klosters Madrisa,46.897446,9.867868,Grisons,https://www.bergfex.ch/klosters-madrisa/,2602,30,11,SKI_CLUSTER_006,confident,47.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
mastrils_skilift_mastrils,Mastrils Skilift Mastrils,Mastrils Skilift Mastrils,46.967238,9.538779,Grisons,https://www.bergfex.ch/skilift-mastrils/,940,3,1,SKI_CLUSTER_038,confident,44.9,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
minschuns_val_mustair,Minschuns - Val Müstair,Minschuns Minschuns - Val Müstair,46.647256,10.332212,Grisons,https://www.bergfex.ch/minschuns/,2700,25,4,SKI_CLUSTER_122,confident,321.7,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
motta_naluns_scuol_motta_naluns,Motta Naluns Scuol Motta Naluns,Motta Naluns Scuol Motta Naluns,46.818447,10.261745,Grisons,https://www.bergfex.ch/scuol/,2800,70,12,SKI_CLUSTER_044,confident,68.4,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
muottas_muragl,Muottas Muragl,Muottas Muragl Muottas Muragl,46.518654,9.897050,Grisons,https://www.bergfex.ch/muottas-muragl/,2456,NA,1,SKI_CLUSTER_022,confident,61.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
musella_la_punt_musella,Müsella La Punt - Müsella,Müsella La Punt - Müsella,46.571481,9.930184,Grisons,https://www.bergfex.ch/la-punt-muesella/,1790,1,1,SKI_CLUSTER_087,confident,2.0,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
obermutten_mutten_obermutten,Obermutten Mutten - Obermutten,Obermutten Mutten - Obermutten,46.672336,9.487853,Grisons,https://www.bergfex.ch/mutten/,2000,3.5,1,SKI_CLUSTER_236,confident,26.5,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
obersaxen_mundaun,Obersaxen Mundaun,Obersaxen Obersaxen Mundaun,46.736331,9.119854,Grisons,https://www.bergfex.ch/pizmundaun/,2310,120,15,SKI_CLUSTER_027,confident,173.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
pany,Pany,Pany Pany,46.933802,9.760868,Grisons,https://www.bergfex.ch/pany/,1550,5,2,SKI_CLUSTER_239,confident,12.9,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
parsenn_davos_klosters_parsenn,Parsenn Davos Klosters Parsenn,Parsenn Davos Klosters Parsenn,46.847571,9.820662,Grisons,https://www.bergfex.ch/davos-parsenn/,2844,101.5,19,SKI_CLUSTER_006,confident,64.8,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
pian_cales_san_bernardino,Pian Cales San Bernardino,Pian Cales San Bernardino,46.462443,9.196994,Grisons,https://www.bergfex.ch/sanbernardino/,2525,40,11,SKI_CLUSTER_067,confident,2.0,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
pischa_davos_pischa,Pischa Davos Pischa,Pischa Davos Pischa,46.807873,9.913616,Grisons,https://www.bergfex.ch/davos-pischa/,2483,30,1,SKI_CLUSTER_241,confident,2.7,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
pradaschier_churwalden,Pradaschier - Churwalden,Pradaschier Pradaschier - Churwalden,46.782678,9.520105,Grisons,https://www.bergfex.ch/pradaschier/,2235,NA,3,SKI_CLUSTER_007,confident,39.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
rinerhorn_davos_rinerhorn,Rinerhorn Davos Rinerhorn,Rinerhorn Davos Rinerhorn,46.745978,9.800406,Grisons,https://www.bergfex.ch/rinerhorn/,2490,51.5,7,SKI_CLUSTER_006,confident,117.6,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
rossa,Rossa,Rossa Rossa,46.372306,9.128048,Grisons,https://www.bergfex.ch/rossa/,1150,0.4,2,SKI_CLUSTER_147,warning,5785.8,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
samnaun_silvretta_arena_samnaun_ischgl,Samnaun Silvretta Arena Samnaun / Ischgl,Samnaun Silvretta Arena Samnaun / Ischgl,46.981189,10.374098,Grisons,https://www.bergfex.ch/samnaun/,2900,239,46,SKI_CLUSTER_011,confident,71.3,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
sarn_heinzenberg,Sarn - Heinzenberg,Sarn Sarn - Heinzenberg,46.722506,9.395306,Grisons,https://www.bergfex.ch/sarn-heizenberg/,2075,20,4,SKI_CLUSTER_060,confident,73.6,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
savognin,Savognin,Savognin Savognin,46.587300,9.555016,Grisons,https://www.bergfex.ch/savognin/,2713,80,12,SKI_CLUSTER_043,confident,33.5,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
schatzalp_davos_schatzalp_strela,Schatzalp Davos Schatzalp - Strela,Schatzalp Davos Schatzalp - Strela,46.801235,9.814396,Grisons,https://www.bergfex.ch/schatzalp/,2353,9.7,4,SKI_CLUSTER_006,confident,81.5,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
splugen_rheinwald,Splügen Rheinwald,Splügen Splügen / Rheinwald,46.530701,9.314003,Grisons,https://www.bergfex.ch/spluegen-rheinwald/,2215,30,4,SKI_CLUSTER_084,confident,2.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
survih_samedan,Survih - Samedan,Survih Survih - Samedan,46.528848,9.862564,Grisons,https://www.bergfex.ch/survih-samedan/,1925,1.5,1,SKI_CLUSTER_022,confident,604.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
tenna,Tenna,Tenna Tenna,46.751383,9.341305,Grisons,https://www.bergfex.ch/tenna/,1780,4.5,1,SKI_CLUSTER_060,confident,11.3,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
