resort_id,resort_name_canonical,cluster_id,point_municipality_bfs_id,point_municipality_name,point_municipality_canton,selection_status,bfs_hotel_universe,bfs_hotel_municipality_name,assignment_quality,identity_status,relationship_type,tourism_exposure_interpretation,source_id,usable_for_descriptive_point_merge,usable_as_causal_exposure_without_review
parsenn_davos_klosters_parsenn,Parsenn Davos Klosters Parsenn,SKI_CLUSTER_006,3851,Davos,GR,unique_current_polygon,True,Davos,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
pian_cales_san_bernardino,Pian Cales San Bernardino,SKI_CLUSTER_067,3822,Mesocco,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
pischa_davos_pischa,Pischa Davos Pischa,SKI_CLUSTER_241,3851,Davos,GR,unique_current_polygon,True,Davos,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
pradaschier_churwalden,Pradaschier - Churwalden,SKI_CLUSTER_007,3911,Churwalden,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
rinerhorn_davos_rinerhorn,Rinerhorn Davos Rinerhorn,SKI_CLUSTER_006,3851,Davos,GR,unique_current_polygon,True,Davos,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
rossa,Rossa,SKI_CLUSTER_147,3808,Rossa,GR,unique_current_polygon,False,,warning,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
samnaun_silvretta_arena_samnaun_ischgl,Samnaun Silvretta Arena Samnaun / Ischgl,SKI_CLUSTER_011,3752,Samnaun,GR,unique_current_polygon,True,Samnaun,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
sarn_heinzenberg,Sarn - Heinzenberg,SKI_CLUSTER_060,3661,Cazis,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
savognin,Savognin,SKI_CLUSTER_043,3543,Surses,GR,unique_current_polygon,True,Surses,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
schatzalp_davos_schatzalp_strela,Schatzalp Davos Schatzalp - Strela,SKI_CLUSTER_006,3851,Davos,GR,unique_current_polygon,True,Davos,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
splugen_rheinwald,Splügen Rheinwald,SKI_CLUSTER_084,3714,Rheinwald,GR,unique_current_polygon,True,Rheinwald,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
survih_samedan,Survih - Samedan,SKI_CLUSTER_022,3786,Samedan,GR,unique_current_polygon,True,Samedan,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
tenna,Tenna,SKI_CLUSTER_060,3672,Safiental,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
tschappina_tschappina_urmein_heinzenberg,Tschappina Tschappina - Urmein - Heinzenberg,SKI_CLUSTER_060,3669,Tschappina,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
