cluster_id,display_name,cluster_quality,assignment_quality,map_quality,naming_status,station_count,station_names,lift_count,expected_lifts_total,cluster_uncertain,cluster_uncertainty_reasons,cluster_review_reasons,cluster_warning_reasons,cluster_info_flags,assignment_uncertain,assignment_uncertain_count,assignment_warning_count,assignment_review_count,max_assignment_distance_m,nearest_cluster_id,nearest_cluster_m,bbox_diag_m,cluster_distance_threshold_m
SKI_CLUSTER_014,Adelboden / Lenk / Engstligenalp - Adelboden,warning,confident,warning,multiple_names,3,Adelboden | Lenk | Engstligenalp - Adelboden,35,94.0,True,close_to_named_cluster,,close_to_named_cluster,large_spatial_extent,False,0,0,0,83.4,SKI_CLUSTER_053,3199.1,16104.1,3000.0
SKI_CLUSTER_015,Hohsaas Saas Grund - Hohsaas / Saas Almagell / Saas - Fee,warning,confident,warning,multiple_names,3,Hohsaas Saas Grund - Hohsaas | Saas Almagell | Saas - Fee,35,39.0,True,close_to_named_cluster,,close_to_named_cluster,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,39.8,SKI_CLUSTER_012,3272.5,15674.9,3000.0
SKI_CLUSTER_016,Rougemont Rougemont - La Videmanette / Gstaad,confident,confident,confident,multiple_names,2,Rougemont Rougemont - La Videmanette | Gstaad,31,49.0,False,,,,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,77.0,SKI_CLUSTER_132,5045.4,20013.5,3000.0
SKI_CLUSTER_017,Disentis / Valtgeva Druni KidsArena Sedrun / Andermatt - Oberalp - Sedrun +1,warning,confident,warning,multiple_names,4,Disentis | Valtgeva Druni KidsArena Sedrun | Andermatt - Oberalp - Sedrun | Gemsstock Andermatt - Gemsstock,28,34.0,True,very_large_multi_station_domain,,very_large_multi_station_domain,cluster_lift_count_supported_by_bergfex,False,0,0,0,159.8,,,23425.2,3000.0
SKI_CLUSTER_020,Crans - Montana Crans - Montana / Anzère,confident,confident,confident,multiple_names,2,Crans - Montana Crans - Montana | Anzère,26,38.0,False,,,,cluster_lift_count_supported_by_bergfex,False,0,0,0,265.3,SKI_CLUSTER_052,5226.3,13475.6,3000.0
SKI_CLUSTER_021,Attinghausen Brüsti - Attinghausen / Kellerberg Skilift Kellerberg / Haldi / Ratzi Spiringen +2,warning,confident,warning,multiple_names,5,Attinghausen Brüsti - Attinghausen | Kellerberg Skilift Kellerberg / Haldi | Ratzi Spiringen | Flüelen Eggberge / Flüelen | Biel - Kinzig,25,14.0,True,close_to_named_cluster|many_station_names_on_large_domain,,close_to_named_cluster|many_station_names_on_large_domain,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,177.8,SKI_CLUSTER_013,3374.4,17205.5,3000.0
SKI_CLUSTER_022,Corviglia St. Moritz / Languard Pontresina / Muottas Muragl +1,warning,confident,warning,multiple_names,4,Corviglia St. Moritz | Languard Pontresina | Muottas Muragl | Survih - Samedan,24,27.0,True,close_to_named_cluster,,close_to_named_cluster,cluster_lift_count_supported_by_bergfex,False,0,0,0,604.2,SKI_CLUSTER_033,3061.2,12141.7,3000.0
SKI_CLUSTER_023,Moléson - La Gruyère / Les Pléiades / Les Paccots - Châtel Saint Denis +2,warning,confident,warning,multiple_names,5,Moléson - La Gruyère | Les Pléiades | Les Paccots - Châtel Saint Denis | Rathvel | Bulle - La Chia,23,29.0,True,many_station_names_on_large_domain,,many_station_names_on_large_domain,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,3413.8,SKI_CLUSTER_089,3580.4,15748.6,3000.0
SKI_CLUSTER_024,Meiringen - Hasliberg / Melchsee - Frutt,confident,confident,confident,multiple_names,2,Meiringen - Hasliberg | Melchsee - Frutt,22,32.0,False,,,,cluster_lift_count_supported_by_bergfex,False,0,0,0,507.7,SKI_CLUSTER_194,4631.6,11292.7,3000.0
SKI_CLUSTER_027,Brigels Waltensburg Andiast / Obersaxen Mundaun,confident,confident,confident,multiple_names,2,Brigels Waltensburg Andiast | Obersaxen Mundaun,19,21.0,False,,,,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,173.2,SKI_CLUSTER_231,5056.8,14476.5,3000.0
