official_destination_id,official_destination_name,official_destination_path,official_regions,official_region_codes,official_coordinate_count,official_latitude_first,official_longitude_first,candidate_resort_id,entity_resolution_method,entity_resolution_status,current_member_snapshot,snapshot_retrieval_date,source_id,source_url,source_sha256,resort_name_canonical,cluster_id
29,Nax - Mt-Noble,/fr/stations/nax--mt-noble-29,Valais,VS,1,46.22668782,7.462855898,mont_noble_nax,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Mont - Noble Nax,SKI_CLUSTER_071
1796,Niederhorn,/fr/stations/niederhorn-1796,Berne,BE,1,46.69138817,7.765014816,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
2775,Ottenleue,/fr/stations/ottenleue-2775,Berne,BE,1,46.71342174,7.352966169,ottenleuebad,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Ottenleuebad,SKI_CLUSTER_051
30,Ovronnaz,/fr/stations/ovronnaz-30,Valais,VS,1,46.20534674,7.160467623,ovronnaz,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Ovronnaz,SKI_CLUSTER_057
4454,Praz de Lys – Sommand,/fr/stations/praz-de-lys-sommand-4454,France,France,1,46.15947001432135,6.580260123683821,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
601,Prés-d'Orvin,/fr/stations/pres-d-orvin-601,Berne,BE,1,47.15053081,7.171285139,pres_d_orvin_les_pres_d_orvin,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Prés - d'Orvin Les Prés - d'Orvin,SKI_CLUSTER_130
31,Rathvel,/fr/stations/rathvel-31,Fribourg,FR,1,46.54318435,6.979475798,rathvel,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Rathvel,SKI_CLUSTER_023
2776,Riffenmatt,/fr/stations/riffenmatt-2776,Berne,BE,1,46.76360966,7.353511499,riffenmatt,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Riffenmatt,SKI_CLUSTER_051
937,Robella Val-de-Travers,/fr/stations/robella-val-de-travers-937,Neuchâtel,NE,1,46.88682782,6.552051664,la_robella,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,La Robella,SKI_CLUSTER_102
1801,Rossberg,/fr/stations/rossberg-1801,Berne,BE,1,46.63781291,7.445258015,rossberg_oberwil,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Rossberg - Oberwil,SKI_CLUSTER_176
