event_id,source_id,source_resort_name,event_type,entry_season,candidate_resort_id,resort_name_canonical,cluster_id,entity_resolution_method,entity_resolution_status,entity_resolution_confidence,point_municipality_bfs_id,point_municipality_name,bfs_hotel_municipality_name,bfs_hotel_universe,treatment_ready,treatment_blocker
MAGIC_EVENT_a93726b62aa2,MAGIC_PRESS_ARCHIVE,Crans-Montana,base_pass_exit,,crans_montana_crans_montana,Crans - Montana Crans - Montana,SKI_CLUSTER_020,reviewed_alias,candidate_match_scope_pending,medium,6253,Crans-Montana,Crans-Montana,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_99fa13e1d272,MAGIC_2020,La Robella,base_pass_entry,2020/2021,la_robella,La Robella,SKI_CLUSTER_102,reviewed_alias,candidate_match_scope_pending,medium,6512,Val-de-Travers,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_5b58cac48472,MAGIC_PRESS_ARCHIVE,Glacier 3000,included_winter_offer,2021/2022,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_7169bc06b4bd,MAGIC_2022,Aeschiallmend,base_pass_entry,2022/2023,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_deea30b9cedc,MAGIC_2022,Axalp,base_pass_entry,2022/2023,axalp_brienz,Axalp Brienz,SKI_CLUSTER_095,reviewed_alias,candidate_match_scope_pending,medium,573,Brienz (BE),Brienz (BE),True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_90ad88e8e2f2,MAGIC_2022,Beatenberg,base_pass_entry,2022/2023,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_263702b9d32b,MAGIC_2022,Crans-Montana,paid_pass100_option,2022/2023,crans_montana_crans_montana,Crans - Montana Crans - Montana,SKI_CLUSTER_020,reviewed_alias,candidate_match_scope_pending,medium,6253,Crans-Montana,Crans-Montana,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_6403836f480c,MAGIC_2022,Eriz,base_pass_entry,2022/2023,eriz,Eriz,SKI_CLUSTER_138,unique_normalised_label,candidate_match_scope_pending,medium,932,Horrenbach-Buchen,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_703c57237aae,MAGIC_2022,Faltschen,base_pass_entry,2022/2023,faltschen_reichenbach_im_kandertal,Faltschen - Reichenbach im Kandertal,SKI_CLUSTER_110,reviewed_alias,candidate_match_scope_pending,medium,567,Reichenbach im Kandertal,Reichenbach im Kandertal,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_974aac6c9b6e,MAGIC_2022,Glacier 3000,permanent_base_pass_inclusion,2022/2023,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_fab021288e50,MAGIC_2022,Habkern,base_pass_entry,2022/2023,habkern,Habkern,SKI_CLUSTER_046,unique_normalised_label,candidate_match_scope_pending,medium,579,Habkern,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_0a144aae4624,MAGIC_2022,Heimenschwand,base_pass_entry,2022/2023,heimenschwand_buchholterberg,Heimenschwand Buchholterberg,SKI_CLUSTER_109,reviewed_alias,candidate_match_scope_pending,medium,923,Buchholterberg,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_ee78de3c984c,MAGIC_2022,Jaunpass,base_pass_entry,2022/2023,jaunpass,Jaunpass,SKI_CLUSTER_132,unique_normalised_label,candidate_match_scope_pending,medium,791,Boltigen,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_5976fb0e0b69,MAGIC_2022,Métabief,base_pass_entry,2022/2023,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_53e31aca3797,MAGIC_2022,Niederhorn,base_pass_entry,2022/2023,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_60c16e385ca7,MAGIC_2022,Rossberg,base_pass_entry,2022/2023,rossberg_oberwil,Rossberg - Oberwil,SKI_CLUSTER_176,reviewed_alias,candidate_match_scope_pending,medium,766,Oberwil im Simmental,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_8cf2232c1ddf,MAGIC_2022,Rosswald,base_pass_entry,2022/2023,rosswald,Rosswald,SKI_CLUSTER_058,unique_normalised_label,candidate_match_scope_pending,medium,6010,Termen,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
